t,S,I,R
675,46655175.0,282.0,88978.0
676,46698983.0,282.0,88978.0
677,46672487.0,366.0,89062.0
678,46681745.0,372.0,89121.0
679,46698839.0,329.0,89122.0
680,46698839.0,301.0,89122.0
681,46648934.0,362.0,89225.0
682,46672542.0,383.0,89283.0
683,46671461.0,460.0,89360.0
684,46669653.0,508.0,89408.0
685,46665153.0,549.0,89449.0
686,46698512.0,471.0,89449.0
687,46698512.0,471.0,89449.0
688,46618723.0,472.0,89534.0
689,46648510.0,507.0,89628.0
690,46638242.0,556.0,89678.0
691,46625289.0,638.0,89760.0
692,46698201.0,535.0,89760.0
693,46698201.0,477.0,89760.0
694,46698201.0,400.0,89760.0
695,46483462.0,472.0,89880.0
696,46598296.0,545.0,89994.0
697,46597129.0,623.0,90072.0
698,46536127.0,697.0,90146.0
699,46697815.0,612.0,90146.0
700,46697815.0,518.0,90146.0
701,46697815.0,468.0,90146.0
702,46324881.0,554.0,90314.0
703,46579756.0,670.0,90430.0
704,46560203.0,818.0,90578.0
705,46697383.0,818.0,90578.0
706,46454846.0,795.0,90675.0
707,46697286.0,681.0,90675.0
708,46697286.0,603.0,90675.0
709,46404690.0,731.0,90877.0
710,46561895.0,978.0,91124.0
711,46517587.0,1103.0,91249.0
712,46537439.0,1215.0,91361.0
713,46533953.0,1186.0,91500.0
714,46696461.0,1070.0,91500.0
715,46696461.0,922.0,91500.0
716,46364760.0,1156.0,91734.0
717,46601471.0,1343.0,92018.0
718,46537842.0,1503.0,92178.0
719,46538174.0,1665.0,92340.0
720,46554384.0,1605.0,92482.0
721,46695479.0,1358.0,92482.0
722,46695479.0,1233.0,92482.0
723,46389794.0,1374.0,92735.0
724,46579967.0,1617.0,93117.0
725,46561076.0,1832.0,93332.0
726,46563565.0,2008.0,93508.0
727,46575332.0,1973.0,93707.0
728,46694254.0,1689.0,93707.0
729,46694254.0,1529.0,93707.0
730,46511872.0,1626.0,93966.0
731,46615714.0,1892.0,94374.0
732,46607141.0,2116.0,94598.0
733,46618812.0,2299.0,94781.0
734,46693180.0,2046.0,94781.0
735,46693180.0,1664.0,94781.0
736,46693180.0,1449.0,94781.0
737,46496895.0,1803.0,95311.0
738,46648458.0,1965.0,95672.0
739,46629168.0,2247.0,95954.0
740,46638559.0,2640.0,96347.0
741,46642221.0,2770.0,96736.0
742,46691225.0,2362.0,96736.0
743,46691225.0,2138.0,96736.0
744,46621918.0,2556.0,97337.0
745,46655934.0,2866.0,97647.0
746,46652762.0,3310.0,98091.0
747,46655297.0,3670.0,98451.0
748,46658607.0,3428.0,98739.0
749,46689222.0,3067.0,98739.0
750,46689222.0,2785.0,98739.0
751,46639980.0,2856.0,99203.0
752,46666392.0,2640.0,99376.0
753,46654372.0,2941.0,99677.0
754,46652166.0,3167.0,99903.0
755,46660283.0,2814.0,100151.0
756,46687810.0,2504.0,100151.0
757,46687810.0,2060.0,100151.0
758,46687810.0,1700.0,100151.0
759,46628776.0,1885.0,100624.0
760,46668380.0,2039.0,100778.0
761,46663841.0,2241.0,100980.0
762,46664407.0,1951.0,101154.0
763,46686807.0,1778.0,101154.0
764,46686807.0,1477.0,101154.0
765,46650649.0,1412.0,101315.0
766,46663212.0,1449.0,101600.0
767,46664292.0,1582.0,101733.0
768,46663528.0,1667.0,101818.0
769,46666236.0,1725.0,101876.0
770,46686085.0,1252.0,101876.0
771,46686085.0,1098.0,101876.0
772,46686085.0,896.0,101876.0
773,46649738.0,1003.0,102157.0
774,46685804.0,1003.0,102157.0
775,46685804.0,1003.0,102157.0
776,46620920.0,1129.0,102444.0
777,46685517.0,844.0,102444.0
778,46685517.0,711.0,102444.0
779,46685517.0,626.0,102444.0
780,46631020.0,918.0,102794.0
781,46685167.0,918.0,102794.0
782,46685167.0,918.0,102794.0
783,46611936.0,1257.0,103133.0
784,46684828.0,976.0,103133.0
785,46684828.0,976.0,103133.0
786,46684828.0,976.0,103133.0
787,46628195.0,689.0,103133.0
788,46684828.0,689.0,103133.0
789,46684828.0,689.0,103133.0
790,46641240.0,1012.0,103456.0
791,46684505.0,662.0,103456.0
792,46684505.0,662.0,103456.0
793,46684505.0,662.0,103456.0
794,46657220.0,529.0,103662.0
795,46684299.0,529.0,103662.0
796,46684299.0,529.0,103662.0
797,46635108.0,886.0,104019.0
798,46683942.0,886.0,104019.0
799,46683942.0,886.0,104019.0
800,46683942.0,886.0,104019.0
801,46649215.0,563.0,104019.0
